pid,visit,model,r2,mse
32,0,RandomForestRegressor_n_estimators50_max_depthNone,-2.6364251427705954,0.04354294851474629
33,0,RandomForestRegressor_n_estimators50_max_depthNone,-0.8438716667731969,0.1252828744286646
21,0,RandomForestRegressor_n_estimators50_max_depth10,-0.3617411332187821,0.03447906581886517
27,0,RandomForestRegressor_n_estimators50_max_depth10,-2.262737307246423,0.04981659802452771
28,0,RandomForestRegressor_n_estimators50_max_depth10,-2.2805167237703916,0.08640859302750402
32,0,RandomForestRegressor_n_estimators50_max_depth10,-1.6372602956988005,0.03157884041801154
33,0,RandomForestRegressor_n_estimators50_max_depth10,-0.6977403123242372,0.11535389918628314
21,0,RandomForestRegressor_n_estimators50_max_depth20,-0.5944185933371096,0.040370421573848646
27,0,RandomForestRegressor_n_estimators50_max_depth20,-1.912338047256957,0.044466581324066196
28,0,RandomForestRegressor_n_estimators50_max_depth20,-2.6735817940585282,0.09676190092127351
32,0,RandomForestRegressor_n_estimators50_max_depth20,-2.6181330854519653,0.04332391743923045
33,0,RandomForestRegressor_n_estimators50_max_depth20,-0.8632928820973811,0.12660245958448504
21,0,RandomForestRegressor_n_estimators50_max_depth50,-0.748263850369592,0.0442657586638027
27,0,RandomForestRegressor_n_estimators50_max_depth50,-3.0424570755711002,0.0617216282530231
28,0,RandomForestRegressor_n_estimators50_max_depth50,-3.002301536428834,0.10542035714335793
32,0,RandomForestRegressor_n_estimators50_max_depth50,-1.8708536226514196,0.03437591221505028
33,0,RandomForestRegressor_n_estimators50_max_depth50,-1.0058090057522708,0.13628579598238186
21,0,RandomForestRegressor_n_estimators50_max_depth100,-0.8836525752716531,0.04769377933759725
27,0,RandomForestRegressor_n_estimators50_max_depth100,-2.37855081979765,0.05158487866047083
28,0,RandomForestRegressor_n_estimators50_max_depth100,-2.8823118769597604,0.10225983746746505
32,0,RandomForestRegressor_n_estimators50_max_depth100,-2.4767229837677496,0.041630657565768704
33,0,RandomForestRegressor_n_estimators50_max_depth100,-0.7080824096120044,0.11605659867409501
21,0,RandomForestRegressor_n_estimators100_max_depthNone,-0.566831034040344,0.039671909022842226
27,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.329958931763421,0.05084296096207759
28,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.375538934457647,0.08891147175766088
32,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.2215442571021455,0.03857511985468763
33,0,RandomForestRegressor_n_estimators100_max_depthNone,-0.7463481360337165,0.11865658449989962
21,0,RandomForestRegressor_n_estimators100_max_depth10,-0.49059654013363674,0.03774166393516965
27,0,RandomForestRegressor_n_estimators100_max_depth10,-2.0835045079091903,0.04708000985435437
28,0,RandomForestRegressor_n_estimators100_max_depth10,-2.445678777731269,0.09075895057967938
32,0,RandomForestRegressor_n_estimators100_max_depth10,-1.74412793425264,0.03285848509671293
33,0,RandomForestRegressor_n_estimators100_max_depth10,-0.6184039208728793,0.10996334443839327
21,0,RandomForestRegressor_n_estimators100_max_depth20,-0.6373994173872095,0.041458689105188885
27,0,RandomForestRegressor_n_estimators100_max_depth20,-2.92759404235557,0.059967859863251885
28,0,RandomForestRegressor_n_estimators100_max_depth20,-2.5521310184695136,0.09356289554364375
32,0,RandomForestRegressor_n_estimators100_max_depth20,-2.221092240856833,0.03856970736320913
33,0,RandomForestRegressor_n_estimators100_max_depth20,-0.7489426111647111,0.11883286753949612
21,0,RandomForestRegressor_n_estimators100_max_depth50,-0.6443795753375037,0.04163542557846071
27,0,RandomForestRegressor_n_estimators100_max_depth50,-2.625883321815307,0.05536123656830767
28,0,RandomForestRegressor_n_estimators100_max_depth50,-2.1509509427966162,0.08299583894601095
32,0,RandomForestRegressor_n_estimators100_max_depth50,-2.0970939755163496,0.037084938703974515
33,0,RandomForestRegressor_n_estimators100_max_depth50,-0.7605426483064204,0.11962103844248305
21,0,RandomForestRegressor_n_estimators100_max_depth100,-0.7497182500002981,0.0443025838278304
27,0,RandomForestRegressor_n_estimators100_max_depth100,-2.1349613349408525,0.04786567042903832
28,0,RandomForestRegressor_n_estimators100_max_depth100,-2.6317683010300716,0.0956605362868626
32,0,RandomForestRegressor_n_estimators100_max_depth100,-2.4472610779826782,0.04127787751492783
33,0,RandomForestRegressor_n_estimators100_max_depth100,-0.7289330369861098,0.11747330601774673
21,0,RandomForestRegressor_n_estimators200_max_depthNone,-0.658413961701164,0.041990773977180394
27,0,RandomForestRegressor_n_estimators200_max_depthNone,-2.1681977735958062,0.048373135832570316
28,0,RandomForestRegressor_n_estimators200_max_depthNone,-2.5762928437716304,0.09419931642033194
32,0,RandomForestRegressor_n_estimators200_max_depthNone,-2.090362304055519,0.037004332940806295
33,0,RandomForestRegressor_n_estimators200_max_depthNone,-0.8578310090447581,0.1262313496161896
21,0,RandomForestRegressor_n_estimators200_max_depth10,-0.4151837016869948,0.03583222303119759
27,0,RandomForestRegressor_n_estimators200_max_depth10,-2.179859402172561,0.04855118959798664
28,0,RandomForestRegressor_n_estimators200_max_depth10,-2.5260599346085773,0.09287618492308748
32,0,RandomForestRegressor_n_estimators200_max_depth10,-1.9874034844668689,0.035771492883751824
33,0,RandomForestRegressor_n_estimators200_max_depth10,-0.65980186785853,0.11277615071296669
21,0,RandomForestRegressor_n_estimators200_max_depth20,-0.739354774642025,0.044040182303580734
27,0,RandomForestRegressor_n_estimators200_max_depth20,-2.1508412048384744,0.04810812975716586
28,0,RandomForestRegressor_n_estimators200_max_depth20,-2.798356590529284,0.1000484607885677
32,0,RandomForestRegressor_n_estimators200_max_depth20,-2.0737468384222457,0.0368053775557198
33,0,RandomForestRegressor_n_estimators200_max_depth20,-0.8096258039475963,0.12295602044560551
21,0,RandomForestRegressor_n_estimators200_max_depth50,-0.49823803230866526,0.03793514528432621
27,0,RandomForestRegressor_n_estimators200_max_depth50,-2.1016930298911882,0.04735771847840605
28,0,RandomForestRegressor_n_estimators200_max_depth50,-2.3329856885999507,0.08779062208276851
32,0,RandomForestRegressor_n_estimators200_max_depth50,-2.279253702969744,0.03926613900992119
33,0,RandomForestRegressor_n_estimators200_max_depth50,-0.6361431839595795,0.11116864842445505
21,0,RandomForestRegressor_n_estimators200_max_depth100,-0.512410602853036,0.0382939924842098
27,0,RandomForestRegressor_n_estimators200_max_depth100,-1.953235630853814,0.045091019729724596
28,0,RandomForestRegressor_n_estimators200_max_depth100,-2.507828447564156,0.09239596876296469
32,0,RandomForestRegressor_n_estimators200_max_depth100,-2.059250990223015,0.036631802699360796
33,0,RandomForestRegressor_n_estimators200_max_depth100,-0.7243633178160942,0.11716281393564147
21,0,RandomForestRegressor_n_estimators600_max_depthNone,-0.6230659651158179,0.04109576840593034
27,0,RandomForestRegressor_n_estimators600_max_depthNone,-2.1073598058229943,0.047444240766934424
28,0,RandomForestRegressor_n_estimators600_max_depthNone,-2.5008832336219005,0.09221303228814753
32,0,RandomForestRegressor_n_estimators600_max_depthNone,-2.117788693926918,0.03733273950363349
33,0,RandomForestRegressor_n_estimators600_max_depthNone,-0.7527138556903408,0.1190891068227707
21,0,RandomForestRegressor_n_estimators600_max_depth10,-0.4277983947224011,0.03615162502386889
27,0,RandomForestRegressor_n_estimators600_max_depth10,-2.157710162914242,0.0482130073771164
28,0,RandomForestRegressor_n_estimators600_max_depth10,-2.447170358088988,0.09079823870741976
32,0,RandomForestRegressor_n_estimators600_max_depth10,-1.8411426879287185,0.0340201502647383
33,0,RandomForestRegressor_n_estimators600_max_depth10,-0.6933614658470924,0.11505637605426462
21,0,RandomForestRegressor_n_estimators600_max_depth20,-0.6586684046557996,0.04199721643174537
27,0,RandomForestRegressor_n_estimators600_max_depth20,-2.1219594414273963,0.0476671530365167
28,0,RandomForestRegressor_n_estimators600_max_depth20,-2.587301542524675,0.09448928481568307
32,0,RandomForestRegressor_n_estimators600_max_depth20,-2.1330579267814924,0.0375155749516196
33,0,RandomForestRegressor_n_estimators600_max_depth20,-0.6727030488199257,0.11365272854834096
21,0,RandomForestRegressor_n_estimators600_max_depth50,-0.617902771021593,0.040965037164384044
27,0,RandomForestRegressor_n_estimators600_max_depth50,-2.2159431490225185,0.04910212868463968
28,0,RandomForestRegressor_n_estimators600_max_depth50,-2.5291220590448646,0.09295684107774065
32,0,RandomForestRegressor_n_estimators600_max_depth50,-2.050728570717443,0.03652975432515187
33,0,RandomForestRegressor_n_estimators600_max_depth50,-0.7000633453476666,0.11551173894260265
21,0,RandomForestRegressor_n_estimators600_max_depth100,-0.6974602957547964,0.04297942085651667
27,0,RandomForestRegressor_n_estimators600_max_depth100,-2.2357981050519387,0.04940528099822482
28,0,RandomForestRegressor_n_estimators600_max_depth100,-2.618853048578445,0.09532034939348275
32,0,RandomForestRegressor_n_estimators600_max_depth100,-1.9972561384756844,0.03588946962997809
33,0,RandomForestRegressor_n_estimators600_max_depth100,-0.6513535247640103,0.11220212339527746
21,0,RandomForestRegressor_n_estimators1000_max_depthNone,-0.6705807107235642,0.042298834099704107
27,0,RandomForestRegressor_n_estimators1000_max_depthNone,-2.209164014242636,0.048998622517736984
28,0,RandomForestRegressor_n_estimators1000_max_depthNone,-2.5847623496253593,0.09442240264304683
32,0,RandomForestRegressor_n_estimators1000_max_depthNone,-2.0647734921751666,0.03669792973586894
33,0,RandomForestRegressor_n_estimators1000_max_depthNone,-0.6745975067985375,0.11378144853754724
21,0,RandomForestRegressor_n_estimators1000_max_depth10,-0.36403032246104616,0.03453702772119039
27,0,RandomForestRegressor_n_estimators1000_max_depth10,-2.186190530260602,0.04864785544426953
28,0,RandomForestRegressor_n_estimators1000_max_depth10,-2.481435315259389,0.09170077540774761
32,0,RandomForestRegressor_n_estimators1000_max_depth10,-1.907672102174924,0.03481678067661352
33,0,RandomForestRegressor_n_estimators1000_max_depth10,-0.6929198790748172,0.11502637219817353
21,0,RandomForestRegressor_n_estimators1000_max_depth20,-0.5093393263773682,0.03821622825930005
27,0,RandomForestRegressor_n_estimators1000_max_depth20,-2.242736742062081,0.049511222500166964
28,0,RandomForestRegressor_n_estimators1000_max_depth20,-2.663127768451738,0.09648654257982357
32,0,RandomForestRegressor_n_estimators1000_max_depth20,-2.057397512846973,0.03660960896051298
33,0,RandomForestRegressor_n_estimators1000_max_depth20,-0.6938248988959297,0.11508786426763101
21,0,RandomForestRegressor_n_estimators1000_max_depth50,-0.5829107455866904,0.04007904472523844
27,0,RandomForestRegressor_n_estimators1000_max_depth50,-2.4112113760021345,0.05208355129221557
28,0,RandomForestRegressor_n_estimators1000_max_depth50,-2.5032291207904773,0.092274822800651
32,0,RandomForestRegressor_n_estimators1000_max_depth50,-2.1247026324507337,0.037415527752354946
33,0,RandomForestRegressor_n_estimators1000_max_depth50,-0.6724617417267644,0.11363633280519027
21,0,RandomForestRegressor_n_estimators1000_max_depth100,-0.6278078180540687,0.041215831357377566
27,0,RandomForestRegressor_n_estimators1000_max_depth100,-2.020400228803455,0.04611651196598435
28,0,RandomForestRegressor_n_estimators1000_max_depth100,-2.580896425476269,0.09432057445724504
32,0,RandomForestRegressor_n_estimators1000_max_depth100,-2.122001869353282,0.03738318852251086
33,0,RandomForestRegressor_n_estimators1000_max_depth100,-0.6987801596958445,0.11542455218780684
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,-0.03288501188340365,0.02615248187727727
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,0.0972669408440261,0.013783239561317474
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,-0.4163264431303648,0.03730594461895807
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,-0.2561700661346533,0.015041516425604928
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,0.07099773673575493,0.0631215696785235
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,0.10934833039747527,0.02255115659561546
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,-0.032104447097120126,0.0157585265127449
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,-0.6022460940608279,0.042203055899220646
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,-0.385812385697452,0.016593867601395744
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,0.00197692071033595,0.06781122698108899
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,0.03073354147935048,0.024541670368991155
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,-0.32170426861890267,0.02018023642628407
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,-0.5662224617990796,0.04125419581357526
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,-0.555853041902632,0.01862995283561967
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,0.0516921719965352,0.06443329689174697
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,-0.0007868363252185873,0.02533976125017821
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,-1.0647046309773458,0.031524622105597803
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,-1.8581520511387262,0.07528353555037623
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,-2.5394490906936764,0.042381746763860965
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,-0.6218712170327214,0.11019893178279923
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,-0.4937725072130523,0.03782207890927775
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,-2.4427543790001964,0.05256516073633201
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,-2.8346281754133886,0.10100385192984833
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,-2.6749982898031868,0.0440048275551085
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,-0.9038114673162021,0.12935551714020976
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,-0.6434723157899791,0.04161245391307526
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,-3.494837786565583,0.06862873290518445
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,-2.7714597734418396,0.09934000040956588
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,-2.024462152176031,0.03621523738466452
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,-1.3886900212148308,0.1623008571418502
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,-0.4201453392775214,0.035957850894585065
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,-2.686088155508299,0.056280464724542074
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,-2.7436631018769466,0.09860783792328247
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,-6.723201411968841,0.09247845019412519
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,-0.7268491886120085,0.11733171779396445
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,-1.1875227826634784,0.05538772396882816
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,-4.680690186918575,0.08673473617231925
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,-3.1002302101884966,0.1079997919181627
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,-3.7692441390317715,0.05710744586973522
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,-1.4525777197708458,0.16664174195501982
21,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,-2.03800415436788,0.07692177510188117
27,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,-4.201754821309785,0.0794221858988806
28,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,-3.2571747684515797,0.11213370117842386
32,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,-3.181658391738405,0.050071630491201016
33,0,GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,-1.7081730946611535,0.18400831026558365
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,0.051141590172926965,0.02402494186826856
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,-0.06174531303703468,0.01621109347250232
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,-0.8658863948780637,0.04914732394513466
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,-0.47161202894104903,0.017621241822412464
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,-0.06665670326255202,0.07247457630671057
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,0.0142028560054136,0.02496022465848346
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,-0.40586519058503856,0.02146523439705205
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,-1.1452865638674474,0.056506705873927796
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,-0.9160494543921351,0.022942983691048496
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,-0.2152414700988805,0.082570250002996
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,-0.16649584303410814,0.029535486568094873
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,-1.2904512805524986,0.034971399776693946
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,-1.2008241651880027,0.05796956261093479
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,-1.1696199557387574,0.025979264337975844
